shards in the file:	1
""
\	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
11	-	-	-	-	-	-	-	-	-	-	100.0%	91.6666666667%	84.6153846154%	78.5714285714%	73.3333333333%	68.75%	64.7058823529%	61.1111111111%	57.8947368421%	55.0%	52.380952381%	50.0%	47.8260869565%	45.8333333333%	44.0%	42.3076923077%	40.7407407407%	39.2857142857%	37.9310344828%	36.6666666667%	35.4838709677%	34.375%	33.3333333333%	32.3529411765%	31.4285714286%	30.5555555556%	29.7297297297%	28.9473684211%	28.2051282051%	27.5%	26.8292682927%	26.1904761905%	25.5813953488%	25.0%	24.4444444444%	23.9130434783%	23.4042553191%	22.9166666667%	22.4489795918%	22.0%	21.568627451%	21.1538461538%	20.7547169811%	20.3703703704%	20.0%	19.6428571429%	19.298245614%	18.9655172414%	18.6440677966%	18.3333333333%	18.0327868852%	17.7419354839%	17.4603174603%	17.1875%	16.9230769231%	16.6666666667%	16.4179104478%	16.1764705882%	15.9420289855%	15.7142857143%	15.4929577465%	15.2777777778%	15.0684931507%	14.8648648649%	14.6666666667%	14.4736842105%	14.2857142857%	14.1025641026%	13.9240506329%	13.75%	13.5802469136%	13.4146341463%	13.2530120482%	13.0952380952%	12.9411764706%	12.7906976744%	12.6436781609%	12.5%	12.3595505618%	12.2222222222%	12.0879120879%	11.9565217391%	11.8279569892%	11.7021276596%	11.5789473684%	11.4583333333%	11.3402061856%	11.2244897959%	11.1111111111%
12	-	-	-	-	-	-	-	-	-	-	-	100.0%	92.3076923077%	85.7142857143%	80.0%	75.0%	70.5882352941%	66.6666666667%	63.1578947368%	60.0%	57.1428571429%	54.5454545455%	52.1739130435%	50.0%	48.0%	46.1538461538%	44.4444444444%	42.8571428571%	41.3793103448%	40.0%	38.7096774194%	37.5%	36.3636363636%	35.2941176471%	34.2857142857%	33.3333333333%	32.4324324324%	31.5789473684%	30.7692307692%	30.0%	29.2682926829%	28.5714285714%	27.9069767442%	27.2727272727%	26.6666666667%	26.0869565217%	25.5319148936%	25.0%	24.4897959184%	24.0%	23.5294117647%	23.0769230769%	22.641509434%	22.2222222222%	21.8181818182%	21.4285714286%	21.0526315789%	20.6896551724%	20.3389830508%	20.0%	19.6721311475%	19.3548387097%	19.0476190476%	18.75%	18.4615384615%	18.1818181818%	17.9104477612%	17.6470588235%	17.3913043478%	17.1428571429%	16.9014084507%	16.6666666667%	16.4383561644%	16.2162162162%	16.0%	15.7894736842%	15.5844155844%	15.3846153846%	15.1898734177%	15.0%	14.8148148148%	14.6341463415%	14.4578313253%	14.2857142857%	14.1176470588%	13.9534883721%	13.7931034483%	13.6363636364%	13.4831460674%	13.3333333333%	13.1868131868%	13.0434782609%	12.9032258065%	12.7659574468%	12.6315789474%	12.5%	12.3711340206%	12.2448979592%	12.1212121212%
13	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	92.8571428571%	86.6666666667%	81.25%	76.4705882353%	72.2222222222%	68.4210526316%	65.0%	61.9047619048%	59.0909090909%	56.5217391304%	54.1666666667%	52.0%	50.0%	48.1481481481%	46.4285714286%	44.8275862069%	43.3333333333%	41.935483871%	40.625%	39.3939393939%	38.2352941176%	37.1428571429%	36.1111111111%	35.1351351351%	34.2105263158%	33.3333333333%	32.5%	31.7073170732%	30.9523809524%	30.2325581395%	29.5454545455%	28.8888888889%	28.2608695652%	27.6595744681%	27.0833333333%	26.5306122449%	26.0%	25.4901960784%	25.0%	24.5283018868%	24.0740740741%	23.6363636364%	23.2142857143%	22.8070175439%	22.4137931034%	22.0338983051%	21.6666666667%	21.3114754098%	20.9677419355%	20.6349206349%	20.3125%	20.0%	19.696969697%	19.4029850746%	19.1176470588%	18.8405797101%	18.5714285714%	18.3098591549%	18.0555555556%	17.8082191781%	17.5675675676%	17.3333333333%	17.1052631579%	16.8831168831%	16.6666666667%	16.4556962025%	16.25%	16.049382716%	15.8536585366%	15.6626506024%	15.4761904762%	15.2941176471%	15.1162790698%	14.9425287356%	14.7727272727%	14.606741573%	14.4444444444%	14.2857142857%	14.1304347826%	13.9784946237%	13.829787234%	13.6842105263%	13.5416666667%	13.4020618557%	13.2653061224%	13.1313131313%
14	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	93.3333333333%	87.5%	82.3529411765%	77.7777777778%	73.6842105263%	70.0%	66.6666666667%	63.6363636364%	60.8695652174%	58.3333333333%	56.0%	53.8461538462%	51.8518518519%	50.0%	48.275862069%	46.6666666667%	45.1612903226%	43.75%	42.4242424242%	41.1764705882%	40.0%	38.8888888889%	37.8378378378%	36.8421052632%	35.8974358974%	35.0%	34.1463414634%	33.3333333333%	32.5581395349%	31.8181818182%	31.1111111111%	30.4347826087%	29.7872340426%	29.1666666667%	28.5714285714%	28.0%	27.4509803922%	26.9230769231%	26.4150943396%	25.9259259259%	25.4545454545%	25.0%	24.5614035088%	24.1379310345%	23.7288135593%	23.3333333333%	22.9508196721%	22.5806451613%	22.2222222222%	21.875%	21.5384615385%	21.2121212121%	20.8955223881%	20.5882352941%	20.2898550725%	20.0%	19.7183098592%	19.4444444444%	19.1780821918%	18.9189189189%	18.6666666667%	18.4210526316%	18.1818181818%	17.9487179487%	17.7215189873%	17.5%	17.2839506173%	17.0731707317%	16.8674698795%	16.6666666667%	16.4705882353%	16.2790697674%	16.091954023%	15.9090909091%	15.7303370787%	15.5555555556%	15.3846153846%	15.2173913043%	15.0537634409%	14.8936170213%	14.7368421053%	14.5833333333%	14.4329896907%	14.2857142857%	14.1414141414%
15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	93.75%	88.2352941176%	83.3333333333%	78.9473684211%	75.0%	71.4285714286%	68.1818181818%	65.2173913043%	62.5%	60.0%	57.6923076923%	55.5555555556%	53.5714285714%	51.724137931%	50.0%	48.3870967742%	46.875%	45.4545454545%	44.1176470588%	42.8571428571%	41.6666666667%	40.5405405405%	39.4736842105%	38.4615384615%	37.5%	36.5853658537%	35.7142857143%	34.8837209302%	34.0909090909%	33.3333333333%	32.6086956522%	31.914893617%	31.25%	30.612244898%	30.0%	29.4117647059%	28.8461538462%	28.3018867925%	27.7777777778%	27.2727272727%	26.7857142857%	26.3157894737%	25.8620689655%	25.4237288136%	25.0%	24.5901639344%	24.1935483871%	23.8095238095%	23.4375%	23.0769230769%	22.7272727273%	22.3880597015%	22.0588235294%	21.7391304348%	21.4285714286%	21.1267605634%	20.8333333333%	20.5479452055%	20.2702702703%	20.0%	19.7368421053%	19.4805194805%	19.2307692308%	18.9873417722%	18.75%	18.5185185185%	18.2926829268%	18.0722891566%	17.8571428571%	17.6470588235%	17.4418604651%	17.2413793103%	17.0454545455%	16.8539325843%	16.6666666667%	16.4835164835%	16.3043478261%	16.1290322581%	15.9574468085%	15.7894736842%	15.625%	15.4639175258%	15.306122449%	15.1515151515%
16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	94.1176470588%	88.8888888889%	84.2105263158%	80.0%	76.1904761905%	72.7272727273%	69.5652173913%	66.6666666667%	64.0%	61.5384615385%	59.2592592593%	57.1428571429%	55.1724137931%	53.3333333333%	51.6129032258%	50.0%	48.4848484848%	47.0588235294%	45.7142857143%	44.4444444444%	43.2432432432%	42.1052631579%	41.0256410256%	40.0%	39.0243902439%	38.0952380952%	37.2093023256%	36.3636363636%	35.5555555556%	34.7826086957%	34.0425531915%	33.3333333333%	32.6530612245%	32.0%	31.3725490196%	30.7692307692%	30.1886792453%	29.6296296296%	29.0909090909%	28.5714285714%	28.0701754386%	27.5862068966%	27.1186440678%	26.6666666667%	26.2295081967%	25.8064516129%	25.3968253968%	25.0%	24.6153846154%	24.2424242424%	23.8805970149%	23.5294117647%	23.1884057971%	22.8571428571%	22.5352112676%	22.2222222222%	21.9178082192%	21.6216216216%	21.3333333333%	21.0526315789%	20.7792207792%	20.5128205128%	20.253164557%	20.0%	19.7530864198%	19.512195122%	19.2771084337%	19.0476190476%	18.8235294118%	18.6046511628%	18.3908045977%	18.1818181818%	17.9775280899%	17.7777777778%	17.5824175824%	17.3913043478%	17.2043010753%	17.0212765957%	16.8421052632%	16.6666666667%	16.4948453608%	16.3265306122%	16.1616161616%
17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	94.4444444444%	89.4736842105%	85.0%	80.9523809524%	77.2727272727%	73.9130434783%	70.8333333333%	68.0%	65.3846153846%	62.962962963%	60.7142857143%	58.6206896552%	56.6666666667%	54.8387096774%	53.125%	51.5151515152%	50.0%	48.5714285714%	47.2222222222%	45.9459459459%	44.7368421053%	43.5897435897%	42.5%	41.4634146341%	40.4761904762%	39.5348837209%	38.6363636364%	37.7777777778%	36.9565217391%	36.170212766%	35.4166666667%	34.693877551%	34.0%	33.3333333333%	32.6923076923%	32.0754716981%	31.4814814815%	30.9090909091%	30.3571428571%	29.8245614035%	29.3103448276%	28.813559322%	28.3333333333%	27.868852459%	27.4193548387%	26.9841269841%	26.5625%	26.1538461538%	25.7575757576%	25.3731343284%	25.0%	24.6376811594%	24.2857142857%	23.9436619718%	23.6111111111%	23.2876712329%	22.972972973%	22.6666666667%	22.3684210526%	22.0779220779%	21.7948717949%	21.5189873418%	21.25%	20.987654321%	20.7317073171%	20.4819277108%	20.2380952381%	20.0%	19.7674418605%	19.5402298851%	19.3181818182%	19.1011235955%	18.8888888889%	18.6813186813%	18.4782608696%	18.2795698925%	18.085106383%	17.8947368421%	17.7083333333%	17.5257731959%	17.3469387755%	17.1717171717%
18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	94.7368421053%	90.0%	85.7142857143%	81.8181818182%	78.2608695652%	75.0%	72.0%	69.2307692308%	66.6666666667%	64.2857142857%	62.0689655172%	60.0%	58.064516129%	56.25%	54.5454545455%	52.9411764706%	51.4285714286%	50.0%	48.6486486486%	47.3684210526%	46.1538461538%	45.0%	43.9024390244%	42.8571428571%	41.8604651163%	40.9090909091%	40.0%	39.1304347826%	38.2978723404%	37.5%	36.7346938776%	36.0%	35.2941176471%	34.6153846154%	33.9622641509%	33.3333333333%	32.7272727273%	32.1428571429%	31.5789473684%	31.0344827586%	30.5084745763%	30.0%	29.5081967213%	29.0322580645%	28.5714285714%	28.125%	27.6923076923%	27.2727272727%	26.8656716418%	26.4705882353%	26.0869565217%	25.7142857143%	25.3521126761%	25.0%	24.6575342466%	24.3243243243%	24.0%	23.6842105263%	23.3766233766%	23.0769230769%	22.7848101266%	22.5%	22.2222222222%	21.9512195122%	21.686746988%	21.4285714286%	21.1764705882%	20.9302325581%	20.6896551724%	20.4545454545%	20.2247191011%	20.0%	19.7802197802%	19.5652173913%	19.3548387097%	19.1489361702%	18.9473684211%	18.75%	18.5567010309%	18.3673469388%	18.1818181818%
19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	95.0%	90.4761904762%	86.3636363636%	82.6086956522%	79.1666666667%	76.0%	73.0769230769%	70.3703703704%	67.8571428571%	65.5172413793%	63.3333333333%	61.2903225806%	59.375%	57.5757575758%	55.8823529412%	54.2857142857%	52.7777777778%	51.3513513514%	50.0%	48.7179487179%	47.5%	46.3414634146%	45.2380952381%	44.1860465116%	43.1818181818%	42.2222222222%	41.3043478261%	40.4255319149%	39.5833333333%	38.7755102041%	38.0%	37.2549019608%	36.5384615385%	35.8490566038%	35.1851851852%	34.5454545455%	33.9285714286%	33.3333333333%	32.7586206897%	32.2033898305%	31.6666666667%	31.1475409836%	30.6451612903%	30.1587301587%	29.6875%	29.2307692308%	28.7878787879%	28.3582089552%	27.9411764706%	27.5362318841%	27.1428571429%	26.7605633803%	26.3888888889%	26.0273972603%	25.6756756757%	25.3333333333%	25.0%	24.6753246753%	24.358974359%	24.0506329114%	23.75%	23.4567901235%	23.1707317073%	22.8915662651%	22.619047619%	22.3529411765%	22.0930232558%	21.8390804598%	21.5909090909%	21.3483146067%	21.1111111111%	20.8791208791%	20.652173913%	20.4301075269%	20.2127659574%	20.0%	19.7916666667%	19.587628866%	19.387755102%	19.1919191919%
20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	95.2380952381%	90.9090909091%	86.9565217391%	83.3333333333%	80.0%	76.9230769231%	74.0740740741%	71.4285714286%	68.9655172414%	66.6666666667%	64.5161290323%	62.5%	60.6060606061%	58.8235294118%	57.1428571429%	55.5555555556%	54.0540540541%	52.6315789474%	51.2820512821%	50.0%	48.7804878049%	47.619047619%	46.511627907%	45.4545454545%	44.4444444444%	43.4782608696%	42.5531914894%	41.6666666667%	40.8163265306%	40.0%	39.2156862745%	38.4615384615%	37.7358490566%	37.037037037%	36.3636363636%	35.7142857143%	35.0877192982%	34.4827586207%	33.8983050847%	33.3333333333%	32.7868852459%	32.2580645161%	31.746031746%	31.25%	30.7692307692%	30.303030303%	29.8507462687%	29.4117647059%	28.9855072464%	28.5714285714%	28.1690140845%	27.7777777778%	27.397260274%	27.027027027%	26.6666666667%	26.3157894737%	25.974025974%	25.641025641%	25.3164556962%	25.0%	24.6913580247%	24.3902439024%	24.0963855422%	23.8095238095%	23.5294117647%	23.2558139535%	22.9885057471%	22.7272727273%	22.4719101124%	22.2222222222%	21.978021978%	21.7391304348%	21.5053763441%	21.2765957447%	21.0526315789%	20.8333333333%	20.618556701%	20.4081632653%	20.202020202%
21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	95.4545454545%	91.3043478261%	87.5%	84.0%	80.7692307692%	77.7777777778%	75.0%	72.4137931034%	70.0%	67.7419354839%	65.625%	63.6363636364%	61.7647058824%	60.0%	58.3333333333%	56.7567567568%	55.2631578947%	53.8461538462%	52.5%	51.2195121951%	50.0%	48.8372093023%	47.7272727273%	46.6666666667%	45.652173913%	44.6808510638%	43.75%	42.8571428571%	42.0%	41.1764705882%	40.3846153846%	39.6226415094%	38.8888888889%	38.1818181818%	37.5%	36.8421052632%	36.2068965517%	35.593220339%	35.0%	34.4262295082%	33.8709677419%	33.3333333333%	32.8125%	32.3076923077%	31.8181818182%	31.3432835821%	30.8823529412%	30.4347826087%	30.0%	29.5774647887%	29.1666666667%	28.7671232877%	28.3783783784%	28.0%	27.6315789474%	27.2727272727%	26.9230769231%	26.582278481%	26.25%	25.9259259259%	25.6097560976%	25.3012048193%	25.0%	24.7058823529%	24.4186046512%	24.1379310345%	23.8636363636%	23.595505618%	23.3333333333%	23.0769230769%	22.8260869565%	22.5806451613%	22.3404255319%	22.1052631579%	21.875%	21.6494845361%	21.4285714286%	21.2121212121%
22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	95.652173913%	91.6666666667%	88.0%	84.6153846154%	81.4814814815%	78.5714285714%	75.8620689655%	73.3333333333%	70.9677419355%	68.75%	66.6666666667%	64.7058823529%	62.8571428571%	61.1111111111%	59.4594594595%	57.8947368421%	56.4102564103%	55.0%	53.6585365854%	52.380952381%	51.1627906977%	50.0%	48.8888888889%	47.8260869565%	46.8085106383%	45.8333333333%	44.8979591837%	44.0%	43.137254902%	42.3076923077%	41.5094339623%	40.7407407407%	40.0%	39.2857142857%	38.5964912281%	37.9310344828%	37.2881355932%	36.6666666667%	36.0655737705%	35.4838709677%	34.9206349206%	34.375%	33.8461538462%	33.3333333333%	32.8358208955%	32.3529411765%	31.884057971%	31.4285714286%	30.985915493%	30.5555555556%	30.1369863014%	29.7297297297%	29.3333333333%	28.9473684211%	28.5714285714%	28.2051282051%	27.8481012658%	27.5%	27.1604938272%	26.8292682927%	26.5060240964%	26.1904761905%	25.8823529412%	25.5813953488%	25.2873563218%	25.0%	24.7191011236%	24.4444444444%	24.1758241758%	23.9130434783%	23.6559139785%	23.4042553191%	23.1578947368%	22.9166666667%	22.6804123711%	22.4489795918%	22.2222222222%
23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	95.8333333333%	92.0%	88.4615384615%	85.1851851852%	82.1428571429%	79.3103448276%	76.6666666667%	74.1935483871%	71.875%	69.696969697%	67.6470588235%	65.7142857143%	63.8888888889%	62.1621621622%	60.5263157895%	58.9743589744%	57.5%	56.0975609756%	54.7619047619%	53.488372093%	52.2727272727%	51.1111111111%	50.0%	48.9361702128%	47.9166666667%	46.9387755102%	46.0%	45.0980392157%	44.2307692308%	43.3962264151%	42.5925925926%	41.8181818182%	41.0714285714%	40.350877193%	39.6551724138%	38.9830508475%	38.3333333333%	37.7049180328%	37.0967741935%	36.5079365079%	35.9375%	35.3846153846%	34.8484848485%	34.328358209%	33.8235294118%	33.3333333333%	32.8571428571%	32.3943661972%	31.9444444444%	31.5068493151%	31.0810810811%	30.6666666667%	30.2631578947%	29.8701298701%	29.4871794872%	29.1139240506%	28.75%	28.3950617284%	28.0487804878%	27.7108433735%	27.380952381%	27.0588235294%	26.7441860465%	26.4367816092%	26.1363636364%	25.8426966292%	25.5555555556%	25.2747252747%	25.0%	24.7311827957%	24.4680851064%	24.2105263158%	23.9583333333%	23.7113402062%	23.4693877551%	23.2323232323%
24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	96.0%	92.3076923077%	88.8888888889%	85.7142857143%	82.7586206897%	80.0%	77.4193548387%	75.0%	72.7272727273%	70.5882352941%	68.5714285714%	66.6666666667%	64.8648648649%	63.1578947368%	61.5384615385%	60.0%	58.5365853659%	57.1428571429%	55.8139534884%	54.5454545455%	53.3333333333%	52.1739130435%	51.0638297872%	50.0%	48.9795918367%	48.0%	47.0588235294%	46.1538461538%	45.2830188679%	44.4444444444%	43.6363636364%	42.8571428571%	42.1052631579%	41.3793103448%	40.6779661017%	40.0%	39.3442622951%	38.7096774194%	38.0952380952%	37.5%	36.9230769231%	36.3636363636%	35.8208955224%	35.2941176471%	34.7826086957%	34.2857142857%	33.8028169014%	33.3333333333%	32.8767123288%	32.4324324324%	32.0%	31.5789473684%	31.1688311688%	30.7692307692%	30.3797468354%	30.0%	29.6296296296%	29.2682926829%	28.9156626506%	28.5714285714%	28.2352941176%	27.9069767442%	27.5862068966%	27.2727272727%	26.9662921348%	26.6666666667%	26.3736263736%	26.0869565217%	25.8064516129%	25.5319148936%	25.2631578947%	25.0%	24.7422680412%	24.4897959184%	24.2424242424%
25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	96.1538461538%	92.5925925926%	89.2857142857%	86.2068965517%	83.3333333333%	80.6451612903%	78.125%	75.7575757576%	73.5294117647%	71.4285714286%	69.4444444444%	67.5675675676%	65.7894736842%	64.1025641026%	62.5%	60.9756097561%	59.5238095238%	58.1395348837%	56.8181818182%	55.5555555556%	54.347826087%	53.1914893617%	52.0833333333%	51.0204081633%	50.0%	49.0196078431%	48.0769230769%	47.1698113208%	46.2962962963%	45.4545454545%	44.6428571429%	43.8596491228%	43.1034482759%	42.3728813559%	41.6666666667%	40.9836065574%	40.3225806452%	39.6825396825%	39.0625%	38.4615384615%	37.8787878788%	37.3134328358%	36.7647058824%	36.231884058%	35.7142857143%	35.2112676056%	34.7222222222%	34.2465753425%	33.7837837838%	33.3333333333%	32.8947368421%	32.4675324675%	32.0512820513%	31.6455696203%	31.25%	30.8641975309%	30.487804878%	30.1204819277%	29.7619047619%	29.4117647059%	29.0697674419%	28.7356321839%	28.4090909091%	28.0898876404%	27.7777777778%	27.4725274725%	27.1739130435%	26.8817204301%	26.5957446809%	26.3157894737%	26.0416666667%	25.7731958763%	25.5102040816%	25.2525252525%
26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	96.2962962963%	92.8571428571%	89.6551724138%	86.6666666667%	83.8709677419%	81.25%	78.7878787879%	76.4705882353%	74.2857142857%	72.2222222222%	70.2702702703%	68.4210526316%	66.6666666667%	65.0%	63.4146341463%	61.9047619048%	60.4651162791%	59.0909090909%	57.7777777778%	56.5217391304%	55.3191489362%	54.1666666667%	53.0612244898%	52.0%	50.9803921569%	50.0%	49.0566037736%	48.1481481481%	47.2727272727%	46.4285714286%	45.6140350877%	44.8275862069%	44.0677966102%	43.3333333333%	42.6229508197%	41.935483871%	41.2698412698%	40.625%	40.0%	39.3939393939%	38.8059701493%	38.2352941176%	37.6811594203%	37.1428571429%	36.6197183099%	36.1111111111%	35.6164383562%	35.1351351351%	34.6666666667%	34.2105263158%	33.7662337662%	33.3333333333%	32.9113924051%	32.5%	32.0987654321%	31.7073170732%	31.3253012048%	30.9523809524%	30.5882352941%	30.2325581395%	29.8850574713%	29.5454545455%	29.2134831461%	28.8888888889%	28.5714285714%	28.2608695652%	27.9569892473%	27.6595744681%	27.3684210526%	27.0833333333%	26.8041237113%	26.5306122449%	26.2626262626%
27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	96.4285714286%	93.1034482759%	90.0%	87.0967741935%	84.375%	81.8181818182%	79.4117647059%	77.1428571429%	75.0%	72.972972973%	71.0526315789%	69.2307692308%	67.5%	65.8536585366%	64.2857142857%	62.7906976744%	61.3636363636%	60.0%	58.6956521739%	57.4468085106%	56.25%	55.1020408163%	54.0%	52.9411764706%	51.9230769231%	50.9433962264%	50.0%	49.0909090909%	48.2142857143%	47.3684210526%	46.5517241379%	45.7627118644%	45.0%	44.262295082%	43.5483870968%	42.8571428571%	42.1875%	41.5384615385%	40.9090909091%	40.2985074627%	39.7058823529%	39.1304347826%	38.5714285714%	38.0281690141%	37.5%	36.9863013699%	36.4864864865%	36.0%	35.5263157895%	35.0649350649%	34.6153846154%	34.1772151899%	33.75%	33.3333333333%	32.9268292683%	32.5301204819%	32.1428571429%	31.7647058824%	31.3953488372%	31.0344827586%	30.6818181818%	30.3370786517%	30.0%	29.6703296703%	29.347826087%	29.0322580645%	28.7234042553%	28.4210526316%	28.125%	27.8350515464%	27.5510204082%	27.2727272727%
28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	96.5517241379%	93.3333333333%	90.3225806452%	87.5%	84.8484848485%	82.3529411765%	80.0%	77.7777777778%	75.6756756757%	73.6842105263%	71.7948717949%	70.0%	68.2926829268%	66.6666666667%	65.1162790698%	63.6363636364%	62.2222222222%	60.8695652174%	59.5744680851%	58.3333333333%	57.1428571429%	56.0%	54.9019607843%	53.8461538462%	52.8301886792%	51.8518518519%	50.9090909091%	50.0%	49.1228070175%	48.275862069%	47.4576271186%	46.6666666667%	45.9016393443%	45.1612903226%	44.4444444444%	43.75%	43.0769230769%	42.4242424242%	41.7910447761%	41.1764705882%	40.5797101449%	40.0%	39.4366197183%	38.8888888889%	38.3561643836%	37.8378378378%	37.3333333333%	36.8421052632%	36.3636363636%	35.8974358974%	35.4430379747%	35.0%	34.5679012346%	34.1463414634%	33.734939759%	33.3333333333%	32.9411764706%	32.5581395349%	32.183908046%	31.8181818182%	31.4606741573%	31.1111111111%	30.7692307692%	30.4347826087%	30.1075268817%	29.7872340426%	29.4736842105%	29.1666666667%	28.8659793814%	28.5714285714%	28.2828282828%
29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	96.6666666667%	93.5483870968%	90.625%	87.8787878788%	85.2941176471%	82.8571428571%	80.5555555556%	78.3783783784%	76.3157894737%	74.358974359%	72.5%	70.7317073171%	69.0476190476%	67.4418604651%	65.9090909091%	64.4444444444%	63.0434782609%	61.7021276596%	60.4166666667%	59.1836734694%	58.0%	56.862745098%	55.7692307692%	54.7169811321%	53.7037037037%	52.7272727273%	51.7857142857%	50.8771929825%	50.0%	49.1525423729%	48.3333333333%	47.5409836066%	46.7741935484%	46.0317460317%	45.3125%	44.6153846154%	43.9393939394%	43.2835820896%	42.6470588235%	42.0289855072%	41.4285714286%	40.8450704225%	40.2777777778%	39.7260273973%	39.1891891892%	38.6666666667%	38.1578947368%	37.6623376623%	37.1794871795%	36.7088607595%	36.25%	35.8024691358%	35.3658536585%	34.9397590361%	34.5238095238%	34.1176470588%	33.7209302326%	33.3333333333%	32.9545454545%	32.5842696629%	32.2222222222%	31.8681318681%	31.5217391304%	31.1827956989%	30.8510638298%	30.5263157895%	30.2083333333%	29.8969072165%	29.5918367347%	29.2929292929%
30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	96.7741935484%	93.75%	90.9090909091%	88.2352941176%	85.7142857143%	83.3333333333%	81.0810810811%	78.9473684211%	76.9230769231%	75.0%	73.1707317073%	71.4285714286%	69.7674418605%	68.1818181818%	66.6666666667%	65.2173913043%	63.829787234%	62.5%	61.2244897959%	60.0%	58.8235294118%	57.6923076923%	56.6037735849%	55.5555555556%	54.5454545455%	53.5714285714%	52.6315789474%	51.724137931%	50.8474576271%	50.0%	49.1803278689%	48.3870967742%	47.619047619%	46.875%	46.1538461538%	45.4545454545%	44.776119403%	44.1176470588%	43.4782608696%	42.8571428571%	42.2535211268%	41.6666666667%	41.095890411%	40.5405405405%	40.0%	39.4736842105%	38.961038961%	38.4615384615%	37.9746835443%	37.5%	37.037037037%	36.5853658537%	36.1445783133%	35.7142857143%	35.2941176471%	34.8837209302%	34.4827586207%	34.0909090909%	33.7078651685%	33.3333333333%	32.967032967%	32.6086956522%	32.2580645161%	31.914893617%	31.5789473684%	31.25%	30.9278350515%	30.612244898%	30.303030303%
31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	96.875%	93.9393939394%	91.1764705882%	88.5714285714%	86.1111111111%	83.7837837838%	81.5789473684%	79.4871794872%	77.5%	75.6097560976%	73.8095238095%	72.0930232558%	70.4545454545%	68.8888888889%	67.3913043478%	65.9574468085%	64.5833333333%	63.2653061224%	62.0%	60.7843137255%	59.6153846154%	58.4905660377%	57.4074074074%	56.3636363636%	55.3571428571%	54.3859649123%	53.4482758621%	52.5423728814%	51.6666666667%	50.8196721311%	50.0%	49.2063492063%	48.4375%	47.6923076923%	46.9696969697%	46.2686567164%	45.5882352941%	44.9275362319%	44.2857142857%	43.661971831%	43.0555555556%	42.4657534247%	41.8918918919%	41.3333333333%	40.7894736842%	40.2597402597%	39.7435897436%	39.2405063291%	38.75%	38.2716049383%	37.8048780488%	37.3493975904%	36.9047619048%	36.4705882353%	36.0465116279%	35.632183908%	35.2272727273%	34.8314606742%	34.4444444444%	34.0659340659%	33.6956521739%	33.3333333333%	32.9787234043%	32.6315789474%	32.2916666667%	31.9587628866%	31.6326530612%	31.3131313131%
